2025-09-08 18:27:34|__main__        | WARNING | picamera not found, trying cv2_camera
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 's' for action 'snap_None'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 'S' for action 'snap_None'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding '<F1>' for action 'snap_None'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 'f' for action 'snap_Four'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 'F' for action 'snap_Four'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding '<F2>' for action 'snap_Four'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 'a' for action 'snap_Animation'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 'A' for action 'snap_Animation'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding '<F3>' for action 'snap_Animation'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding 'e' for action 'send_email'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding '@' for action 'send_email'
2025-09-08 18:27:37|user_interface  | DEBUG   | Installing keybinding '<Escape>' for action 'configure'
2025-09-08 18:27:37|user_interface  | WARNING | install_key_binding: no action 'send_print'
2025-09-08 18:27:37|tkImageLabel    | DEBUG   | Created ImageLabel with size (1280, 720)
2025-09-08 18:27:37|user_interface  | WARNING | No hardware buttons found, generating software buttons
2025-09-08 18:27:37|picamera2.picamera2| INFO    | Initialization successful.
2025-09-08 18:27:37|picamera2.picamera2| INFO    | Camera now open.
2025-09-08 18:27:37|picamera2.picamera2| DEBUG   | <libcamera._libcamera.CameraManager object at 0x7f7b0b37b0>
2025-09-08 18:27:37|picamera2.picamera2| DEBUG   | Requesting configuration: {'use_case': 'preview', 'transform': <libcamera.Transform 'identity'>, 'colour_space': <libcamera.ColorSpace 'sYCC'>, 'buffer_count': 4, 'queue': True, 'main': {'format': 'RGB888', 'size': (1280, 720), 'preserve_ar': True, 'stride': 3840, 'framesize': 2764800}, 'lores': None, 'raw': {'format': 'SBGGR10_CSI2P', 'size': (1536, 864), 'stride': 1920, 'framesize': 1658880}, 'controls': {'NoiseReductionMode': <NoiseReductionModeEnum.Minimal: 3>, 'FrameDurationLimits': (100, 83333)}, 'sensor': {'bit_depth': 10, 'output_size': (1536, 864)}, 'display': 'main', 'encode': 'main'}
2025-09-08 18:27:37|picamera2.picamera2| INFO    | Camera configuration has been adjusted!
2025-09-08 18:27:37|picamera2.picamera2| INFO    | Configuration successful!
2025-09-08 18:27:37|picamera2.picamera2| DEBUG   | Final configuration: {'use_case': 'preview', 'transform': <libcamera.Transform 'identity'>, 'colour_space': <libcamera.ColorSpace 'sYCC'>, 'buffer_count': 4, 'queue': True, 'main': {'format': 'RGB888', 'size': (1280, 720), 'preserve_ar': True, 'stride': 3840, 'framesize': 2764800}, 'lores': None, 'raw': {'format': 'SBGGR10_CSI2P', 'size': (1536, 864), 'stride': 1920, 'framesize': 1658880}, 'controls': {'NoiseReductionMode': <NoiseReductionModeEnum.Minimal: 3>, 'FrameDurationLimits': (100, 83333)}, 'sensor': {'bit_depth': 10, 'output_size': (1536, 864)}, 'display': 'main', 'encode': 'main'}
